[2025-08-24 17:30:48] info: 	z2m: Logging to console, file (filename: log.log)
[2025-08-24 17:30:48] info: 	z2m: Starting Zigbee2MQTT version 2.6.0 (commit #unknown)
[2025-08-24 17:30:48] info: 	z2m: Starting zigbee-herdsman (5.0.4)
[2025-08-24 17:30:48] info: 	zh:ember: Using default stack config.
[2025-08-24 17:30:48] info: 	zh:ember: ======== Ember Adapter Starting ========
[2025-08-24 17:30:48] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2025-08-24 17:30:48] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2025-08-24 17:30:48] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2025-08-24 17:30:48] info: 	zh:ember:uart:ash: Serial port opened
[2025-08-24 17:30:48] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2025-08-24 17:30:48] error: 	zh:ember:uart:ash: Received frame with CRC error
[2025-08-24 17:30:50] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2025-08-24 17:30:50] info: 	zh:ember:uart:ash: ======== ASH started ========
[2025-08-24 17:30:50] info: 	zh:ember:ezsp: ======== EZSP started ========
[2025-08-24 17:30:50] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2025-08-24 17:30:50] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.5 [GA]","build":0,"major":7,"minor":4,"patch":5,"special":0,"type":170}
[2025-08-24 17:30:50] info: 	zh:ember: [STACK STATUS] Network up.
[2025-08-24 17:30:50] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2025-08-24 17:30:50] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1249ms until next broadcast.
[2025-08-24 17:30:50] info: 	z2m: zigbee-herdsman started (resumed)
[2025-08-24 17:30:50] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":5,"revision":"7.4.5 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2025-08-24 17:30:50] info: 	z2m: Th Bureau (0x28dba7fffe6c5be2): SNZB-02D - SONOFF Temperature and humidity sensor with screen (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Th Balcon Nord (0x28dba7fffe1b9e55): SNZB-02D - SONOFF Temperature and humidity sensor with screen (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Inter Bureau (RODRET) (0xd44867fffe136724): E2201 - IKEA RODRET wireless dimmer/power switch (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Inter (SOMRIG) (0x287681fffe3d3405): E2213 - IKEA SOMRIG shortcut button (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Poussoir (IKEA TRADFRI) (0x70ac08fffe7c23f5): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Boutton Bureau (HUE) (0x00178801080381e0): 8718699693985 - Philips Hue smart button (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: prise bureau pc (IKEA) (0xd44867fffe148732): E2206 - IKEA INSPELNING smart plug (Router)
[2025-08-24 17:30:50] info: 	z2m: prise tv chambre (NOUS) (0xa4c138cc2ec0a611): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: prise salon chargeur (NOUS) (0xa4c13862732d4d37): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: prise frigo cuisine (NOUS) (0xa4c13819c020cf4a): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: prise congelateur cuisine (NOUS) (0xa4c138bf157dac0e): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: lampe bureau 1 (IKEA) (0x881a14fffeebb6ad): LED2201G8 - IKEA TRADFRI bulb E26/27, white spectrum, globe, opal, 1055/1100/1160 lm (Router)
[2025-08-24 17:30:50] info: 	z2m: Clim Salon (NOUS) (0xa4c138d015dca54b): A6Z - Nous Outdoor smart socket (Router)
[2025-08-24 17:30:50] info: 	z2m: lampe bureau 2 (IKEA) (0x881a14fffea7b00f): LED2201G8 - IKEA TRADFRI bulb E26/27, white spectrum, globe, opal, 1055/1100/1160 lm (Router)
[2025-08-24 17:30:50] info: 	z2m: Inter Salon (4) (IKEA) (0x6cfd22fffe5f3511): E2201 - IKEA RODRET wireless dimmer/power switch (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Clim Chambre (NOUS) (0xa4c138c742b1b280): A6Z - Nous Outdoor smart socket (Router)
[2025-08-24 17:30:50] info: 	z2m: Clim du Bureau (NOUS) (0xa4c1385900eabff5): A6Z - Nous Outdoor smart socket (Router)
[2025-08-24 17:30:50] info: 	z2m: prise box internet (IKEA) (0x8c65a3fffe1035b2): E2206 - IKEA INSPELNING smart plug (Router)
[2025-08-24 17:30:50] info: 	z2m: prise pc's gege (IKEA) (0x8c65a3fffe282786): E2206 - IKEA INSPELNING smart plug (Router)
[2025-08-24 17:30:50] info: 	z2m: prise lave vaisselle (NOUS) (0xa4c138a9441298b7): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: prise lave linge (NOUS) (0xa4c138d18475f3ab): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: prise airfryer ninja (NOUS) (0xa4c1388b6f4ffaf5): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: prise four micro ondes (NOUS) (0xa4c138fc07adca74): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 17:30:50] info: 	z2m: prise horloge (IKEA) (0x8c65a3fffe105949): E2206 - IKEA INSPELNING smart plug (Router)
[2025-08-24 17:30:50] info: 	z2m: détecteur de fuite (IKEA) (0xb0c7defffe634f2f): E2202 - IKEA BADRING water leakage sensor (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: contact fenetre bureau (IKEA) (0xd44867fffefc3d9a): E2013 - IKEA PARASOLL door/window sensor (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Th Salon (0x08ddebfffeee7e56): SNZB-02D - SONOFF Temperature and humidity sensor with screen (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Th Chambre (0x08ddebfffeef219f): SNZB-02D - SONOFF Temperature and humidity sensor with screen (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: Th Cuisine (0xd44867fffe29fba9): SNZB-02D - SONOFF Temperature and humidity sensor with screen (EndDevice)
[2025-08-24 17:30:50] info: 	z2m: prise tete de lit chambre (0x8c65a3fffe104f42): E2206 - IKEA INSPELNING smart plug (Router)
[2025-08-24 17:30:50] info: 	z2m: Radiateur élec cuisine  (0xa4c138bb5636f0b8): TS0001_power - Tuya Switch with power monitoring (Router)
