[2025-08-29 07:36:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.29,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:22.810Z","linkquality":255,"power":22.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.8}'
[2025-08-29 07:36:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.29,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:23.123Z","linkquality":255,"power":25.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.8}'
[2025-08-29 07:36:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.39,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:24.145Z","linkquality":255,"power":25.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.8}'
[2025-08-29 07:36:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Th Salle de Bain', payload '{"battery":19,"comfort_humidity_max":55,"comfort_humidity_min":40,"comfort_temperature_max":25,"comfort_temperature_min":21,"humidity":54.9,"humidity_calibration":-8.700000000000001,"last_seen":"2025-08-29T05:36:24.328Z","linkquality":104,"temperature":25.9,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2025-08-29 07:36:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/qualite air chambre (IKEA)', payload '{"humidity":49,"identify":null,"last_seen":"2025-08-29T05:36:24.339Z","linkquality":192,"pm25":2,"temperature":26,"update":{"installed_version":16777233,"latest_version":16777233,"state":"idle"},"voc_index":56}'
[2025-08-29 07:36:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise mini pc (IKEA)', payload '{"current":0.13,"energy":6.76,"identify":null,"last_seen":"2025-08-29T05:36:25.330Z","linkquality":255,"power":7.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise mini pc (IKEA)', payload '{"current":0.13,"energy":6.76,"identify":null,"last_seen":"2025-08-29T05:36:25.773Z","linkquality":252,"power":16.8,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prise Bureau Fer à Repasser (NOUS)', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":2.1,"indicator_mode":"off/on","last_seen":"2025-08-29T05:36:18.324Z","linkquality":184,"power":0,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prise Bureau Fer à Repasser (NOUS)', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":2.1,"indicator_mode":"off/on","last_seen":"2025-08-29T05:36:18.324Z","linkquality":184,"power":0,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Th Salle de Bain', payload '{"battery":19,"comfort_humidity_max":55,"comfort_humidity_min":40,"comfort_temperature_max":25,"comfort_temperature_min":21,"humidity":56.4,"humidity_calibration":-8.700000000000001,"last_seen":"2025-08-29T05:36:29.355Z","linkquality":148,"temperature":25.9,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2025-08-29 07:36:30] info: 	zh:ember:ezsp: Received network/route error ROUTE_ERROR_INDIRECT_TRANSACTION_EXPIRY for "7594".
[2025-08-29 07:36:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Th Balcon Nord', payload '{"battery":100,"comfort_humidity_max":55,"comfort_humidity_min":40,"comfort_temperature_max":25,"comfort_temperature_min":21,"humidity":61.7,"humidity_calibration":0,"last_seen":"2025-08-29T05:36:32.348Z","linkquality":255,"temperature":19.5,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2025-08-29 07:36:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise horloge (IKEA)', payload '{"current":0.004,"energy":1.27,"identify":null,"last_seen":"2025-08-29T05:36:33.122Z","linkquality":255,"power":0.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":236.6}'
[2025-08-29 07:36:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.39,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:33.127Z","linkquality":255,"power":45.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.8}'
[2025-08-29 07:36:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise lave linge (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":101.81,"indicator_mode":"on","last_seen":"2025-08-29T05:36:33.720Z","linkquality":192,"power":0,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.39,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:34.105Z","linkquality":255,"power":45.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.8}'
[2025-08-29 07:36:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/qualite air chambre (IKEA)', payload '{"humidity":49,"identify":null,"last_seen":"2025-08-29T05:36:34.313Z","linkquality":184,"pm25":2,"temperature":26,"update":{"installed_version":16777233,"latest_version":16777233,"state":"idle"},"voc_index":56}'
[2025-08-29 07:36:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Th Salle de Bain', payload '{"battery":19,"comfort_humidity_max":55,"comfort_humidity_min":40,"comfort_temperature_max":25,"comfort_temperature_min":21,"humidity":56.4,"humidity_calibration":-8.700000000000001,"last_seen":"2025-08-29T05:36:34.375Z","linkquality":172,"temperature":25.7,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2025-08-29 07:36:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise mini pc (IKEA)', payload '{"current":0.06,"energy":6.76,"identify":null,"last_seen":"2025-08-29T05:36:35.265Z","linkquality":248,"power":16.8,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prise Radiateur Salle de Bain (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":0.27,"indicator_mode":"off/on","last_seen":"2025-08-29T05:36:35.455Z","linkquality":204,"power":0,"power_outage_memory":"restore","state":"OFF","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":230}'
[2025-08-29 07:36:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prise Radiateur Salle de Bain (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":0.27,"indicator_mode":"off/on","last_seen":"2025-08-29T05:36:35.498Z","linkquality":200,"power":0,"power_outage_memory":"restore","state":"OFF","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":230}'
[2025-08-29 07:36:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise mini pc (IKEA)', payload '{"current":0.06,"energy":6.76,"identify":null,"last_seen":"2025-08-29T05:36:35.741Z","linkquality":236,"power":8,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.39,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:36.153Z","linkquality":255,"power":45.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230}'
[2025-08-29 07:36:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise box internet (IKEA)', payload '{"current":0.12,"energy":88.03,"identify":null,"last_seen":"2025-08-29T05:36:36.366Z","linkquality":148,"power":12.9,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":229.3}'
[2025-08-29 07:36:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise tete de lit chambre', payload '{"current":0.05,"energy":26,"identify":null,"last_seen":"2025-08-29T05:36:36.446Z","linkquality":196,"power":4.6,"power_on_behavior":"on","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":237.1}'
[2025-08-29 07:36:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise pc's gege (IKEA)', payload '{"current":0,"energy":314.46,"identify":null,"last_seen":"2025-08-29T05:36:36.498Z","linkquality":176,"power":0,"power_on_behavior":"on","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":229.8}'
[2025-08-29 07:36:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise lave vaisselle (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":117.68,"indicator_mode":"on","last_seen":"2025-08-29T05:36:38.495Z","linkquality":196,"power":0,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":230}'
[2025-08-29 07:36:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Th Salle de Bain', payload '{"battery":19,"comfort_humidity_max":55,"comfort_humidity_min":40,"comfort_temperature_max":25,"comfort_temperature_min":21,"humidity":57.6,"humidity_calibration":-8.700000000000001,"last_seen":"2025-08-29T05:36:39.398Z","linkquality":148,"temperature":25.7,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2025-08-29 07:36:40] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise four micro ondes (NOUS)', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.03,"energy":57.91,"indicator_mode":"off/on","last_seen":"2025-08-29T05:36:40.415Z","linkquality":255,"power":0,"power_outage_memory":"restore","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:44] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/qualite air chambre (IKEA)', payload '{"humidity":48,"identify":null,"last_seen":"2025-08-29T05:36:44.322Z","linkquality":196,"pm25":2,"temperature":26,"update":{"installed_version":16777233,"latest_version":16777233,"state":"idle"},"voc_index":56}'
[2025-08-29 07:36:44] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise salon chargeur (NOUS)', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.03,"energy":37.64,"indicator_mode":"off","last_seen":"2025-08-29T05:36:44.722Z","linkquality":164,"power":0,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":229}'
[2025-08-29 07:36:45] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/qualite air bureau (IKEA)', payload '{"humidity":52,"identify":null,"last_seen":"2025-08-29T05:36:45.431Z","linkquality":216,"pm25":2,"temperature":25,"update":{"installed_version":16777233,"latest_version":16777233,"state":"idle"},"voc_index":36}'
[2025-08-29 07:36:45] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/qualite air bureau (IKEA)', payload '{"humidity":52,"identify":null,"last_seen":"2025-08-29T05:36:45.478Z","linkquality":216,"pm25":2,"temperature":25,"update":{"installed_version":16777233,"latest_version":16777233,"state":"idle"},"voc_index":42}'
[2025-08-29 07:36:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.39,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:46.157Z","linkquality":255,"power":45.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.5}'
[2025-08-29 07:36:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prise Radiateur Salle de Bain (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":0.27,"indicator_mode":"off/on","last_seen":"2025-08-29T05:36:35.498Z","linkquality":200,"power":0,"power_outage_memory":"restore","state":"OFF","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":230}'
[2025-08-29 07:36:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prise Radiateur Salle de Bain (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":0.27,"indicator_mode":"off/on","last_seen":"2025-08-29T05:36:35.498Z","linkquality":200,"power":0,"power_outage_memory":"restore","state":"OFF","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":230}'
[2025-08-29 07:36:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise tete de lit chambre', payload '{"current":0.05,"energy":26,"identify":null,"last_seen":"2025-08-29T05:36:46.915Z","linkquality":192,"power":4.6,"power_on_behavior":"on","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":237.6}'
[2025-08-29 07:36:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise pc's gege (IKEA)', payload '{"current":0,"energy":314.46,"identify":null,"last_seen":"2025-08-29T05:36:46.979Z","linkquality":180,"power":0,"power_on_behavior":"on","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.3}'
[2025-08-29 07:36:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:47.745Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:47.785Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:47.825Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:47.863Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:47.903Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:47.945Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:47.985Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Four et Plaque de Cuisson', payload '{"ac_frequency":49.96,"current":0,"data_report_duration":60,"energy":60.79,"last_seen":"2025-08-29T05:36:48.025Z","linkquality":212,"power":0,"power_factor":100,"produced_energy":0,"voltage":232}'
[2025-08-29 07:36:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Th Salle de Bain', payload '{"battery":19,"comfort_humidity_max":55,"comfort_humidity_min":40,"comfort_temperature_max":25,"comfort_temperature_min":21,"humidity":56.6,"humidity_calibration":-8.700000000000001,"last_seen":"2025-08-29T05:36:49.480Z","linkquality":156,"temperature":25.7,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2025-08-29 07:36:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise congelateur cuisine (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0.13,"energy":190.02,"indicator_mode":"on","last_seen":"2025-08-29T05:36:50.814Z","linkquality":240,"power":29,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":229}'
[2025-08-29 07:36:51] info: 	zh:ember:ezsp: Received network/route error ROUTE_ERROR_SOURCE_ROUTE_FAILURE for "11216".
[2025-08-29 07:36:51] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise box internet (IKEA)', payload '{"current":0.12,"energy":88.03,"identify":null,"last_seen":"2025-08-29T05:36:51.256Z","linkquality":144,"power":12.9,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":229.8}'
[2025-08-29 07:36:54] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/qualite air chambre (IKEA)', payload '{"humidity":48,"identify":null,"last_seen":"2025-08-29T05:36:54.290Z","linkquality":192,"pm25":2,"temperature":26,"update":{"installed_version":16777233,"latest_version":16777233,"state":"idle"},"voc_index":56}'
[2025-08-29 07:36:55] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.45,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:55.293Z","linkquality":255,"power":45.3,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.5}'
[2025-08-29 07:36:55] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise mini pc (IKEA)', payload '{"current":0.06,"energy":6.76,"identify":null,"last_seen":"2025-08-29T05:36:55.443Z","linkquality":255,"power":15.2,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":231}'
[2025-08-29 07:36:55] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/qualite air bureau (IKEA)', payload '{"humidity":53,"identify":null,"last_seen":"2025-08-29T05:36:55.492Z","linkquality":220,"pm25":2,"temperature":25,"update":{"installed_version":16777233,"latest_version":16777233,"state":"idle"},"voc_index":42}'
[2025-08-29 07:36:55] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise bureau pc (IKEA)', payload '{"current":0.45,"energy":625.37,"identify":null,"last_seen":"2025-08-29T05:36:55.767Z","linkquality":255,"power":54.2,"power_on_behavior":"previous","state":"ON","update":{"installed_version":33816645,"latest_version":33816645,"state":"idle"},"voltage":230.5}'
[2025-08-29 07:36:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Detecteur (VALLHORN)', payload '{"battery":100,"identify":null,"illuminance":2,"last_seen":"2025-08-29T05:36:58.946Z","linkquality":148,"occupancy":false,"update":{"installed_version":16777316,"latest_version":16777316,"state":"idle"},"voltage":2800}'
[2025-08-29 07:37:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise congelateur cuisine (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0.13,"energy":190.02,"indicator_mode":"on","last_seen":"2025-08-29T05:37:00.805Z","linkquality":236,"power":29,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":229}'
[2025-08-29 07:37:01] info: 	zh:ember:ezsp: Received network/route error ROUTE_ERROR_SOURCE_ROUTE_FAILURE for "11216".
[2025-08-29 07:37:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise frigo cuisine (NOUS)', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":108,"indicator_mode":"on/off","last_seen":"2025-08-29T05:37:01.759Z","linkquality":128,"power":0,"power_outage_memory":"on","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"voltage":229}'
