[2025-08-24 19:46:03] info: 	z2m: Logging to console, file (filename: log.log)
[2025-08-24 19:46:03] info: 	z2m: Starting Zigbee2MQTT version 2.6.0 (commit #unknown)
[2025-08-24 19:46:03] info: 	z2m: Starting zigbee-herdsman (5.0.4)
[2025-08-24 19:46:03] info: 	zh:ember: Using default stack config.
[2025-08-24 19:46:03] info: 	zh:ember: ======== Ember Adapter Starting ========
[2025-08-24 19:46:03] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2025-08-24 19:46:03] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2025-08-24 19:46:03] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2025-08-24 19:46:03] info: 	zh:ember:uart:ash: Serial port opened
[2025-08-24 19:46:03] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2025-08-24 19:46:04] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2025-08-24 19:46:04] info: 	zh:ember:uart:ash: ======== ASH started ========
[2025-08-24 19:46:04] info: 	zh:ember:ezsp: ======== EZSP started ========
[2025-08-24 19:46:04] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2025-08-24 19:46:04] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.5 [GA]","build":0,"major":7,"minor":4,"patch":5,"special":0,"type":170}
[2025-08-24 19:46:05] info: 	zh:ember: [STACK STATUS] Network up.
[2025-08-24 19:46:05] info: 	zh:ember:ezsp: Received network/route error ROUTE_ERROR_MANY_TO_ONE_ROUTE_FAILURE for "21754".
[2025-08-24 19:46:05] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2025-08-24 19:46:05] info: 	zh:ember:ezsp: Received network/route error ROUTE_ERROR_MANY_TO_ONE_ROUTE_FAILURE for "37255".
[2025-08-24 19:46:05] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1249ms until next broadcast.
[2025-08-24 19:46:05] info: 	z2m: zigbee-herdsman started (resumed)
[2025-08-24 19:46:05] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":5,"revision":"7.4.5 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2025-08-24 19:46:05] info: 	z2m: Th Bureau (0x28dba7fffe6c5be2): SNZB-02D - SONOFF Temperature and humidity sensor with screen (EndDevice)
[2025-08-24 19:46:05] info: 	z2m: Th Balcon Nord (0x28dba7fffe1b9e55): SNZB-02D - SONOFF Temperature and humidity sensor with screen (EndDevice)
[2025-08-24 19:46:05] info: 	z2m: Inter Bureau (RODRET) (0xd44867fffe136724): E2201 - IKEA RODRET wireless dimmer/power switch (EndDevice)
[2025-08-24 19:46:05] info: 	z2m: Inter (SOMRIG) (0x287681fffe3d3405): E2213 - IKEA SOMRIG shortcut button (EndDevice)
[2025-08-24 19:46:05] info: 	z2m: Poussoir (IKEA TRADFRI) (0x70ac08fffe7c23f5): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2025-08-24 19:46:05] info: 	z2m: Boutton Bureau (HUE) (0x00178801080381e0): 8718699693985 - Philips Hue smart button (EndDevice)
[2025-08-24 19:46:05] info: 	z2m: prise bureau pc (IKEA) (0xd44867fffe148732): E2206 - IKEA INSPELNING smart plug (Router)
[2025-08-24 19:46:05] info: 	z2m: prise tv chambre (NOUS) (0xa4c138cc2ec0a611): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 19:46:05] info: 	z2m: prise salon chargeur (NOUS) (0xa4c13862732d4d37): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 19:46:05] info: 	z2m: prise frigo cuisine (NOUS) (0xa4c13819c020cf4a): A1Z - Nous Smart plug (with power monitoring) (Router)
[2025-08-24 19:46:05] info: 	z2m: prise congelateur cuisine (NOUS) (0xa4c138bf157dac0e): A1Z - Nous Smart plug (with power monitoring) (Router)
