Home Assistant notifications (Log started: 2025-12-20T19:43:03.751958+00:00)
--------------------------------------------------------------------------------
03/01 23:15 | Hyg:2.15 | Cuis:0.29 | Froid:0.8 | Chauff:8.32 | Avg P4:396.8 | Multi:5.19 | Lum:0.65 | T̄i:20.8°C | Ext:7.2°C | DUT S/R/B/C:3.8/0.0/11.0/14.6h
03/01 23:30 | Hyg:2.15 | Cuis:0.29 | Froid:0.8 | Chauff:8.36 | Avg P4:394.5 | Multi:5.2 | Lum:0.66 | T̄i:20.4°C | Ext:7.2°C | DUT S/R/B/C:3.8/0.0/11.1/14.7h
03/01 23:45 | Hyg:2.15 | Cuis:0.29 | Froid:0.8 | Chauff:8.4 | Avg P4:391.7 | Multi:5.2 | Lum:0.66 | T̄i:20.3°C | Ext:7.2°C | DUT S/R/B/C:3.8/0.0/11.2/14.8h
04/01 00:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.0 | Chauff:0.0 | Avg P4:0.0 | Multi:0.0 | Lum:0.0 | T̄i:20.2°C | Ext:7.4°C | DUT S/R/B/C:3.8/0.0/11.2/14.9h
04/01 00:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.0 | Chauff:0.05 | Avg P4:178.3 | Multi:0.19 | Lum:0.0 | T̄i:20.2°C | Ext:7.4°C | DUT S/R/B/C:0.0/0.0/0.1/0.1h
04/01 00:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.02 | Chauff:0.08 | Avg P4:156.3 | Multi:0.19 | Lum:0.0 | T̄i:20.2°C | Ext:7.4°C | DUT S/R/B/C:0.0/0.0/0.2/0.2h
04/01 00:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.03 | Chauff:0.14 | Avg P4:179.4 | Multi:0.2 | Lum:0.0 | T̄i:20.1°C | Ext:7.4°C | DUT S/R/B/C:0.0/0.0/0.3/0.3h
04/01 01:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.05 | Chauff:0.17 | Avg P4:156.4 | Multi:0.21 | Lum:0.01 | T̄i:20.1°C | Ext:7.4°C | DUT S/R/B/C:0.0/0.0/0.3/0.4h
04/01 01:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.05 | Chauff:0.21 | Avg P4:157.9 | Multi:0.4 | Lum:0.01 | T̄i:20.1°C | Ext:7.6°C | DUT S/R/B/C:0.0/0.0/0.4/0.5h
04/01 01:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.06 | Chauff:0.25 | Avg P4:157.6 | Multi:0.47 | Lum:0.01 | T̄i:20.0°C | Ext:7.6°C | DUT S/R/B/C:0.0/0.0/0.5/0.6h
04/01 01:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.06 | Chauff:0.29 | Avg P4:155.6 | Multi:0.47 | Lum:0.01 | T̄i:19.9°C | Ext:7.6°C | DUT S/R/B/C:0.0/0.0/0.6/0.6h
04/01 02:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.07 | Chauff:0.34 | Avg P4:164.2 | Multi:0.49 | Lum:0.01 | T̄i:19.9°C | Ext:7.6°C | DUT S/R/B/C:0.0/0.0/0.7/0.8h
04/01 02:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.07 | Chauff:0.39 | Avg P4:166.0 | Multi:0.5 | Lum:0.01 | T̄i:19.9°C | Ext:7.6°C | DUT S/R/B/C:0.0/0.0/0.8/0.9h
04/01 02:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.08 | Chauff:0.44 | Avg P4:167.4 | Multi:0.51 | Lum:0.02 | T̄i:19.9°C | Ext:7.4°C | DUT S/R/B/C:0.0/0.0/0.9/1.0h
04/01 02:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.08 | Chauff:0.48 | Avg P4:169.3 | Multi:0.52 | Lum:0.02 | T̄i:19.9°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/1.0/1.1h
04/01 03:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.1 | Chauff:0.52 | Avg P4:166.5 | Multi:0.52 | Lum:0.02 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/1.0/1.2h
04/01 03:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.12 | Chauff:0.58 | Avg P4:172.1 | Multi:0.53 | Lum:0.02 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/1.1/1.4h
04/01 03:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.12 | Chauff:0.62 | Avg P4:171.9 | Multi:0.54 | Lum:0.02 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/1.2/1.5h
04/01 03:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.12 | Chauff:0.67 | Avg P4:170.8 | Multi:0.54 | Lum:0.02 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/1.3/1.6h
04/01 04:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.13 | Chauff:0.72 | Avg P4:171.7 | Multi:0.58 | Lum:0.02 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/1.3/1.7h
04/01 04:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.14 | Chauff:0.76 | Avg P4:171.2 | Multi:0.58 | Lum:0.03 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/1.4/1.8h
04/01 04:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.14 | Chauff:0.82 | Avg P4:174.8 | Multi:0.59 | Lum:0.03 | T̄i:19.8°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/1.5/2.0h
04/01 04:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.14 | Chauff:0.86 | Avg P4:175.3 | Multi:0.6 | Lum:0.03 | T̄i:19.8°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/1.6/2.0h
04/01 05:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.15 | Chauff:0.92 | Avg P4:178.7 | Multi:0.6 | Lum:0.03 | T̄i:19.7°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/1.7/2.2h
04/01 05:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.16 | Chauff:0.98 | Avg P4:179.1 | Multi:0.61 | Lum:0.03 | T̄i:19.7°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/1.8/2.3h
04/01 05:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.18 | Chauff:1.02 | Avg P4:179.2 | Multi:0.62 | Lum:0.03 | T̄i:19.7°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/1.9/2.4h
04/01 05:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.19 | Chauff:1.08 | Avg P4:182.4 | Multi:0.62 | Lum:0.03 | T̄i:19.7°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/2.0/2.6h
04/01 06:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.2 | Chauff:1.14 | Avg P4:190.9 | Multi:0.66 | Lum:0.04 | T̄i:19.7°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/2.1/2.7h
04/01 06:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.2 | Chauff:1.19 | Avg P4:287.4 | Multi:0.66 | Lum:0.04 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/2.2/2.8h
